Таблица неправильных глаголов

Инфинитив:	Прошедшее время:	Причастие прош. времени:	Перевод:
A
abide	abode; abided	abode; abided	пребывать; держаться
arise	arose	arisen	подняться; возникнуть
awake	awoke	awaked; awoke	будить; проснуться
B
backbite	backbitten	backbitten	клеветать
backslide	backslid	backslid	отпадать
be	was; were	been	быть; нести; родить
bear	bore	born; borne	родить
beat	beat	beaten	бить
become	became	become	стать; сделаться
befall	befell	befallen	случиться
beget	begot; begat	begotten	порождать
begin	began	begun	начать
begird	begirt	begirt	опоясывать
behold	beheld	beheld	зреть
bend	bent	bent; bended	согнуть(ся)
bereave	bereft; bereaved	bereft; bereaved	лишать
beseech	besought; beseeched	besought; beseeched	умолять; упрашивать
beset	beset	beset	осаждать
bespeak	bespoke	bespoke; bespoken	заказывать
bespit	bespat	bespat	заплевывать
bestride	bestrode	bestridden	садиться; сидеть верхом
bet	bet; betted	bet; betted	держать пари
betake	betook	betaken	приниматься; отправляться
bid	bad; bade; bid	bid; bidden	велеть; просить
bind	bound	bound	связать
bite	bit	bit; bitten	кусать
bleed	bled	bled	кровоточить
bless	blessed	blessed; blest	благословлять
blow	blew	blown; blowed	дуть
break	broke	broken	(с)ломать
breed	bred	bred	выращивать
bring	brought	brought	принести
broadcast	broadcast	broadcast	распространять; разбрасывать
browbeat	browbeat	browbeaten	запугивать
build	built	built	строить
burn	burnt; burned	burnt; burned	жечь; гореть
burst	burst	burst	разразиться; взорваться
bust	bust; busted	bust; busted	разжаловать
buy	bought	bought	купить
C
can	could	- / been able	мочь; уметь
cast	cast	cast	кинуть; лить металл
catch	caught	caught	ловить; поймать
chide	chid; chided	chid; chided; chidden	бранить
choose	chose	chosen	выбрать
cleave	clove; cleft; cleaved	cloven; cleft; cleaved	рассечь
cling	clung	clung	цепляться; льнуть
come	came	come	прийти
cost	cost	cost	стоить
countersink	countersank	countersunk	зенковать
creep	crept	crept	ползти
crow	crowed; crew	crowed	петь (о петухе)
cut	cut	cut	резать
D
